year_month,count,date,twitter_data,office_type
2014-03,12691,2014-03-01,All Accounts,House
2014-04,12917,2014-04-01,All Accounts,House
2014-05,14465,2014-05-01,All Accounts,House
2014-06,13206,2014-06-01,All Accounts,House
2014-07,16193,2014-07-01,All Accounts,House
2014-08,11557,2014-08-01,All Accounts,House
2014-09,12967,2014-09-01,All Accounts,House
2014-10,13079,2014-10-01,All Accounts,House
2014-11,9925,2014-11-01,All Accounts,House
2014-12,7898,2014-12-01,All Accounts,House
2015-01,14584,2015-01-01,All Accounts,House
2015-02,15341,2015-02-01,All Accounts,House
2015-03,16522,2015-03-01,All Accounts,House
2015-04,16223,2015-04-01,All Accounts,House
2015-05,15100,2015-05-01,All Accounts,House
2015-06,17633,2015-06-01,All Accounts,House
2015-07,20314,2015-07-01,All Accounts,House
2015-08,13620,2015-08-01,All Accounts,House
2015-09,17304,2015-09-01,All Accounts,House
2015-10,17957,2015-10-01,All Accounts,House
2015-11,15656,2015-11-01,All Accounts,House
2015-12,13620,2015-12-01,All Accounts,House
2016-01,17925,2016-01-01,All Accounts,House
2016-02,18618,2016-02-01,All Accounts,House
2016-03,21116,2016-03-01,All Accounts,House
2016-04,20427,2016-04-01,All Accounts,House
2016-05,21082,2016-05-01,All Accounts,House
2016-06,25061,2016-06-01,All Accounts,House
2016-07,21181,2016-07-01,All Accounts,House
2016-08,18658,2016-08-01,All Accounts,House
2016-09,23229,2016-09-01,All Accounts,House
2016-10,20932,2016-10-01,All Accounts,House
2016-11,18028,2016-11-01,All Accounts,House
2016-12,13426,2016-12-01,All Accounts,House
2017-01,25791,2017-01-01,All Accounts,House
2017-02,24106,2017-02-01,All Accounts,House
2017-03,33426,2017-03-01,All Accounts,House
2017-04,24293,2017-04-01,All Accounts,House
2017-05,28245,2017-05-01,All Accounts,House
2017-06,29461,2017-06-01,All Accounts,House
2017-07,27397,2017-07-01,All Accounts,House
2017-08,24028,2017-08-01,All Accounts,House
2017-09,28377,2017-09-01,All Accounts,House
