year_month,total_tweets,date,twitter_data,office_type
2011-05,251,2011-05-01,all,senate
2011-06,193,2011-06-01,all,senate
2011-07,269,2011-07-01,all,senate
2011-08,208,2011-08-01,all,senate
2011-09,239,2011-09-01,all,senate
2011-10,426,2011-10-01,all,senate
2011-11,432,2011-11-01,all,senate
2011-12,351,2011-12-01,all,senate
2012-01,382,2012-01-01,all,senate
2012-02,491,2012-02-01,all,senate
2012-03,500,2012-03-01,all,senate
2012-04,399,2012-04-01,all,senate
2012-05,566,2012-05-01,all,senate
2012-06,671,2012-06-01,all,senate
2012-07,601,2012-07-01,all,senate
2012-08,557,2012-08-01,all,senate
2012-09,684,2012-09-01,all,senate
2012-10,1055,2012-10-01,all,senate
2012-11,724,2012-11-01,all,senate
2012-12,558,2012-12-01,all,senate
2013-01,764,2013-01-01,all,senate
2013-02,1011,2013-02-01,all,senate
2013-03,1177,2013-03-01,all,senate
2013-04,1332,2013-04-01,all,senate
2013-05,1437,2013-05-01,all,senate
2013-06,1378,2013-06-01,all,senate
2013-07,1414,2013-07-01,all,senate
2013-08,1314,2013-08-01,all,senate
2013-09,1384,2013-09-01,all,senate
2013-10,1529,2013-10-01,all,senate
2013-11,1350,2013-11-01,all,senate
2013-12,925,2013-12-01,all,senate
2014-01,1680,2014-01-01,all,senate
2014-02,1760,2014-02-01,all,senate
2014-03,2080,2014-03-01,all,senate
2014-04,2297,2014-04-01,all,senate
2014-05,2280,2014-05-01,all,senate
2014-06,2182,2014-06-01,all,senate
2014-07,2488,2014-07-01,all,senate
2014-08,2061,2014-08-01,all,senate
2014-09,2613,2014-09-01,all,senate
2014-10,5469,2014-10-01,all,senate
2014-11,2192,2014-11-01,all,senate
2010-12,52,2010-12-01,all,senate
2011-01,179,2011-01-01,all,senate
2011-02,169,2011-02-01,all,senate
2011-03,249,2011-03-01,all,senate
2011-04,249,2011-04-01,all,senate
2011-05,336,2011-05-01,all,senate
2011-06,289,2011-06-01,all,senate
2011-07,384,2011-07-01,all,senate
2011-08,266,2011-08-01,all,senate
2011-09,313,2011-09-01,all,senate
2011-10,366,2011-10-01,all,senate
2011-11,478,2011-11-01,all,senate
2011-12,494,2011-12-01,all,senate
2012-01,469,2012-01-01,all,senate
2012-02,482,2012-02-01,all,senate
2012-03,544,2012-03-01,all,senate
2012-04,383,2012-04-01,all,senate
2012-05,525,2012-05-01,all,senate
2012-06,524,2012-06-01,all,senate
2012-07,567,2012-07-01,all,senate
2012-08,578,2012-08-01,all,senate
2012-09,663,2012-09-01,all,senate
2012-10,1108,2012-10-01,all,senate
2012-11,738,2012-11-01,all,senate
2012-12,438,2012-12-01,all,senate
2013-01,659,2013-01-01,all,senate
2013-02,712,2013-02-01,all,senate
2013-03,855,2013-03-01,all,senate
2013-04,883,2013-04-01,all,senate
