year_month,total_accounts,date,twitter_data,office_type
2017-04,586,2017-04-01,all,house
2017-05,599,2017-05-01,all,house
2017-06,601,2017-06-01,all,house
2017-07,606,2017-07-01,all,house
2017-08,604,2017-08-01,all,house
2017-09,616,2017-09-01,all,house
2017-10,610,2017-10-01,all,house
2017-11,623,2017-11-01,all,house
2017-12,614,2017-12-01,all,house
2018-01,640,2018-01-01,all,house
2018-02,642,2018-02-01,all,house
2018-03,654,2018-03-01,all,house
2018-04,656,2018-04-01,all,house
2018-05,669,2018-05-01,all,house
2018-06,675,2018-06-01,all,house
2018-07,671,2018-07-01,all,house
2018-08,679,2018-08-01,all,house
2018-09,704,2018-09-01,all,house
2018-10,707,2018-10-01,all,house
2018-11,705,2018-11-01,all,house
2018-12,637,2018-12-01,all,house
2019-01,637,2019-01-01,all,house
2019-02,696,2019-02-01,all,house
2019-03,704,2019-03-01,all,house
2019-04,695,2019-04-01,all,house
2019-05,715,2019-05-01,all,house
2019-06,717,2019-06-01,all,house
2019-07,726,2019-07-01,all,house
2019-08,700,2019-08-01,all,house
2019-09,741,2019-09-01,all,house
2019-10,741,2019-10-01,all,house
2019-11,747,2019-11-01,all,house
2019-12,750,2019-12-01,all,house
2020-01,776,2020-01-01,all,house
2020-02,792,2020-02-01,all,house
2020-03,800,2020-03-01,all,house
2020-04,785,2020-04-01,all,house
2020-05,813,2020-05-01,all,house
2020-06,697,2020-06-01,all,house
2020-07,707,2020-07-01,all,house
2020-08,740,2020-08-01,all,house
2020-09,746,2020-09-01,all,house
2020-10,756,2020-10-01,all,house
2020-11,754,2020-11-01,all,house
2020-12,713,2020-12-01,all,house
2021-01,747,2021-01-01,all,house
2021-02,723,2021-02-01,all,house
2021-03,740,2021-03-01,all,house
2021-04,739,2021-04-01,all,house
2021-05,748,2021-05-01,all,house
2021-06,762,2021-06-01,all,house
2021-07,773,2021-07-01,all,house
2021-08,771,2021-08-01,all,house
2021-09,787,2021-09-01,all,house
2021-10,783,2021-10-01,all,house
2021-11,815,2021-11-01,all,house
2021-12,811,2021-12-01,all,house
2022-01,811,2022-01-01,all,house
2022-02,826,2022-02-01,all,house
2022-03,825,2022-03-01,all,house
2022-04,819,2022-04-01,all,house
2022-05,836,2022-05-01,all,house
2022-06,825,2022-06-01,all,house
2022-07,830,2022-07-01,all,house
2022-08,837,2022-08-01,all,house
2022-09,832,2022-09-01,all,house
2022-10,848,2022-10-01,all,house
2022-11,863,2022-11-01,all,house
2022-12,764,2022-12-01,all,house
2023-01,818,2023-01-01,all,house
2023-02,798,2023-02-01,all,house
2023-03,765,2023-03-01,all,house
2009-03,1,2009-03-01,combined,governor
2009-04,2,2009-04-01,combined,governor
